Time,Well,NADH
0 days 00:00:00,D3,0.4810515873015873
0 days 00:01:22,D3,0.4800595238095238
0 days 00:02:44,D3,0.4807043650793651
0 days 00:04:06,D3,0.4829365079365079
0 days 00:05:28,D3,0.4799107142857143
0 days 00:06:50,D3,0.4821428571428571
0 days 00:08:12,D3,0.48055555555555557
0 days 00:09:34,D3,0.4803571428571428
0 days 00:10:56,D3,0.4802083333333333
0 days 00:12:18,D3,0.4793650793650793
0 days 00:13:40,D3,0.47981150793650795
0 days 00:15:02,D3,0.47857142857142854
0 days 00:16:24,D3,0.4797619047619048
0 days 00:17:46,D3,0.48110119047619054
0 days 00:19:08,D3,0.4780753968253968
0 days 00:20:30,D3,0.47981150793650795
0 days 00:21:52,D3,0.48075396825396827
0 days 00:23:14,D3,0.4790674603174603
0 days 00:24:36,D3,0.47881944444444446
0 days 00:25:58,D3,0.4762400793650794
0 days 00:27:20,D3,0.4773809523809523
0 days 00:28:42,D3,0.4773809523809524
0 days 00:30:04,D3,0.4765873015873015
0 days 00:31:26,D3,0.47524801587301585
0 days 00:32:48,D3,0.47683531746031743
0 days 00:34:10,D3,0.47777777777777775
0 days 00:35:32,D3,0.47673611111111114
0 days 00:36:54,D3,0.4766865079365079
0 days 00:38:16,D3,0.47609126984126976
0 days 00:39:38,D3,0.47544642857142855
0 days 00:41:00,D3,0.47524801587301585
0 days 00:42:22,D3,0.4755952380952381
0 days 00:43:44,D3,0.4744047619047619
0 days 00:45:06,D3,0.47435515873015865
0 days 00:46:28,D3,0.473561507936508
0 days 00:47:50,D3,0.4749503968253968
0 days 00:49:12,D3,0.473561507936508
0 days 00:50:34,D3,0.4745535714285714
0 days 00:51:56,D3,0.4739583333333333
0 days 00:53:18,D3,0.47435515873015865
0 days 00:54:40,D3,0.47321428571428575
0 days 00:56:02,D3,0.4728174603174603
0 days 00:57:24,D3,0.4729662698412698
0 days 00:58:46,D3,0.47316468253968264
0 days 01:00:08,D3,0.4720238095238095
0 days 01:01:30,D3,0.4737599206349206
0 days 01:02:52,D3,0.4719742063492064
0 days 01:04:14,D3,0.4708829365079365
0 days 01:05:36,D3,0.47137896825396824
0 days 01:06:58,D3,0.47043650793650793
0 days 01:08:20,D3,0.47063492063492063
0 days 01:09:42,D3,0.4716765873015873
0 days 01:11:04,D3,0.4712301587301587
0 days 01:12:26,D3,0.4708829365079365
0 days 01:13:48,D3,0.4694940476190476
0 days 01:15:10,D3,0.4699404761904762
0 days 01:16:32,D3,0.46954365079365085
0 days 01:17:54,D3,0.46929563492063486
0 days 01:19:16,D3,0.46865079365079365
0 days 01:20:38,D3,0.46944444444444444
0 days 01:22:00,D3,0.4687003968253969
0 days 01:23:22,D3,0.4671130952380953
0 days 01:24:44,D3,0.46790674603174603
0 days 01:26:06,D3,0.46959325396825397
0 days 01:27:28,D3,0.46894841269841275
0 days 01:28:50,D3,0.4676587301587301
0 days 01:30:12,D3,0.4686507936507936
0 days 01:31:34,D3,0.4681051587301588
0 days 01:32:56,D3,0.4673611111111111
0 days 01:34:18,D3,0.46597222222222223
0 days 01:35:40,D3,0.4676587301587302
0 days 01:37:02,D3,0.4656746031746032
0 days 01:38:24,D3,0.46631944444444445
0 days 01:39:46,D3,0.46592261904761906
0 days 01:41:08,D3,0.46512896825396827
0 days 01:42:30,D3,0.4656746031746032
0 days 01:43:52,D3,0.4640873015873016
0 days 01:45:14,D3,0.4653769841269841
0 days 01:46:36,D3,0.4636904761904762
0 days 01:47:58,D3,0.46334325396825393
0 days 01:49:20,D3,0.46418650793650795
0 days 01:50:42,D3,0.4641369047619047
0 days 01:52:04,D3,0.46443452380952377
0 days 01:53:26,D3,0.46448412698412694
0 days 01:54:48,D3,0.46349206349206346
0 days 01:56:10,D3,0.46354166666666663
0 days 01:57:32,D3,0.46254960317460314
0 days 01:58:54,D3,0.4624007936507937
0 days 02:00:16,D3,0.4637896825396825
0 days 02:01:38,D3,0.46269841269841266
0 days 02:03:00,D3,0.4623015873015872
0 days 02:04:22,D3,0.4627480158730159
0 days 02:05:44,D3,0.4622519841269841
0 days 02:07:06,D3,0.4624007936507936
0 days 02:08:28,D3,0.4614583333333333
0 days 02:09:50,D3,0.4610615079365079
0 days 02:11:12,D3,0.46111111111111114
0 days 02:12:34,D3,0.46130952380952384
0 days 02:13:56,D3,0.46111111111111114
0 days 02:15:18,D3,0.4619543650793651
0 days 02:16:40,D3,0.4606646825396825
0 days 02:18:02,D3,0.4596726190476191
0 days 02:19:24,D3,0.46130952380952384
0 days 02:20:46,D3,0.4603174603174603
0 days 02:22:08,D3,0.45972222222222225
0 days 02:23:30,D3,0.45982142857142855
0 days 02:24:52,D3,0.4602678571428571
0 days 02:26:14,D3,0.45972222222222214
0 days 02:27:36,D3,0.45868055555555554
0 days 02:28:58,D3,0.45972222222222214
0 days 02:30:20,D3,0.45892857142857135
0 days 02:31:42,D3,0.4592261904761905
0 days 02:33:04,D3,0.4592757936507937
0 days 02:34:26,D3,0.45729166666666665
0 days 02:35:48,D3,0.45833333333333326
0 days 02:37:10,D3,0.4575396825396825
0 days 02:38:32,D3,0.4577380952380952
0 days 02:39:54,D3,0.45719246031746036
0 days 02:41:16,D3,0.4584325396825396
0 days 02:42:38,D3,0.4574404761904762
0 days 02:44:00,D3,0.4559027777777777
0 days 02:45:22,D3,0.4561507936507937
0 days 02:46:44,D3,0.4566964285714285
0 days 02:48:06,D3,0.4553571428571429
0 days 02:49:28,D3,0.45620039682539687
0 days 02:50:50,D3,0.4558035714285714
0 days 02:52:12,D3,0.4554067460317461
0 days 02:53:34,D3,0.45525793650793644
0 days 02:54:56,D3,0.45510912698412703
0 days 02:56:18,D3,0.45471230158730164
0 days 02:57:40,D3,0.45535714285714285
0 days 02:59:02,D3,0.4552083333333333
0 days 03:00:24,D3,0.4545138888888889
0 days 03:01:46,D3,0.45352182539682545
0 days 03:03:08,D3,0.45411706349206354
0 days 03:04:30,D3,0.4553075396825397
0 days 03:05:52,D3,0.4539186507936508
0 days 03:07:14,D3,0.4531746031746031
0 days 03:08:36,D3,0.45376984126984127
0 days 03:09:58,D3,0.4525793650793651
0 days 03:11:20,D3,0.45262896825396826
0 days 03:12:42,D3,0.4534722222222223
0 days 03:14:04,D3,0.45272817460317466
0 days 03:15:26,D3,0.4529265873015873
0 days 03:16:48,D3,0.4521329365079365
0 days 03:18:10,D3,0.4521329365079365
0 days 03:19:32,D3,0.451140873015873
0 days 03:20:54,D3,0.45193452380952376
0 days 03:22:16,D3,0.45178571428571423
0 days 03:23:38,D3,0.4510912698412698
0 days 03:25:00,D3,0.4514384920634921
0 days 03:26:22,D3,0.4510912698412698
0 days 03:27:44,D3,0.45069444444444445
0 days 03:29:06,D3,0.45069444444444445
0 days 03:30:28,D3,0.45049603174603176
0 days 03:31:50,D3,0.45009920634920636
0 days 03:33:12,D3,0.4501984126984127
0 days 03:34:34,D3,0.4501984126984127
0 days 03:35:56,D3,0.4485119047619047
0 days 03:37:18,D3,0.44930555555555557
0 days 03:38:40,D3,0.45009920634920636
0 days 03:40:02,D3,0.4481150793650793
0 days 03:41:24,D3,0.4485615079365079
0 days 03:42:46,D3,0.44910714285714287
0 days 03:44:08,D3,0.4483630952380953
0 days 03:45:30,D3,0.44816468253968256
0 days 03:46:52,D3,0.44816468253968256
0 days 03:48:14,D3,0.4478670634920635
0 days 03:49:36,D3,0.44851190476190483
0 days 03:50:58,D3,0.44642857142857145
0 days 03:52:20,D3,0.4463293650793651
0 days 03:53:42,D3,0.4473214285714286
0 days 03:55:04,D3,0.44727182539682536
0 days 03:56:26,D3,0.44712301587301584
0 days 03:57:48,D3,0.4467261904761905
0 days 03:59:10,D3,0.44623015873015875
0 days 04:00:32,D3,0.4466269841269841
0 days 04:01:54,D3,0.44499007936507934
0 days 04:03:16,D3,0.4454861111111111
0 days 04:04:38,D3,0.4450892857142857
0 days 04:06:00,D3,0.4446924603174603
0 days 04:07:22,D3,0.4462797619047619
0 days 04:08:44,D3,0.44429563492063495
0 days 04:10:06,D3,0.44375
0 days 04:11:28,D3,0.44533730158730156
0 days 04:12:50,D3,0.4435515873015873
